
DESKTOP24

"Nazwa komputera:","DESKTOP24"
"Non-Standard Core Timings:","Nieobs³ugiwany"
"Minimalny czas cyklu SDRAM (tCKAVGmin):","0.41600 ns (2400 MHz)"
"Maksymalny czas cyklu SDRAM (tCKAVGmax):","1.01000 ns"
"Obs³ugiwane opóŸnienia CAS#:","22, 28, 30, 32, 36, 40, 42"
"Minimalny czas opóŸnienia CAS# (tAAmin):","16.666 ns"
"Minimalne opóŸnienie RAS# do CAS# (tRCDmin):","16.666 ns"
"Minimum Row Precharge Time (tRPmin):","16.666 ns"
"Minimum Active to Precharge Time (tRASmin):","32.000 ns"
"Obs³ugiwane taktowanie modu³u przy 2400.0 MHz:","40-40-40-77"
"Obs³ugiwane taktowanie modu³u przy 1800.0 MHz:","30-30-30-58"
"Obs³ugiwane taktowanie modu³u przy 1600.0 MHz:","28-27-27-52"
"Minimum Active to Active/Refresh Time (tRCmin):","48.666 ns"
"Minimum Refresh Recovery Time Delay (tRFC1min):","295.000 ns"
"Minimum Refresh Recovery Time Delay (tRFC2min):","160.000 ns"
"Minimum Refresh Recovery Time Delay (tRFCsbmin):","130.000 ns"
"Minimum Refresh Recovery Time Delay (tRFC1dlrmin):","0.000 ns"
"Minimum Refresh Recovery Time Delay (tRFC2dlrmin):","0.000 ns"
"Minimum Refresh Recovery Time Delay (tRFCsbdlrmin):","0.000 ns"
"Activate to Activate Command Delay for Same Bank Group (tRRD_L):","5.000 ns"
"Read to Read Command Delay for Same Bank Group (tCCD_L):","5.000 ns"
"Write to Write Command Delay for Same Bank Group (tCCD_L_WR):","20.000 ns"
"Write to Write Command Delay for Same Bank Group, Second Write not RMW (tCCD_L_WR2):","10.000 ns"
"Four Activate Window (tFAW):","13.333 ns"
"Write to Read Command Delay for Same Bank Group (tCCD_L_WTR):","10.000 ns"
"Write to Read Command Delay for Different Bank Group (tCCD_S_WTR):","2.500 ns"
"Read to Precharge Command Delay (tRTP):","7.500 ns"
"SPD Producent:","Montage Technology Group"
"SPD Type:","SPD5118"
"SPD Steppping:","0.A"
"PMIC0 Device:","Obecny"
"PMIC0 Producent:","Richtek Power"
"PMIC0 Typ urz¹dzenia:","PMIC5100"
"PMIC0 Stepping:","1.2"
"PMIC0 Type:","Small PMIC (Low Current)"
"PMIC0 Secure Mode:","Wy³¹czony"
"Czujnik termiczny 0:","Nieobecny"
"Czujnik termiczny 1:","Nieobecny"
"Klasa temperatury DRAM:","Extended (XT) : 0 - 95 C"
"Rozpraszacz ciep³a:","Obecny"
"Vin_bulk Fuse:","Nieobecny"
"Vin_bulk Transient Voltage Suppression (TVS):","Nieobecny"
"Vin_mgmt Transient Voltage Suppression (TVS):","Nieobecny"
"Wysokoœæ nominalna modu³u:","44 - 45 mm"
"Maksymalna gruboœæ modu³u (przód):","3 - 4 mm"
"Maksymalna gruboœæ modu³u (ty³):","3 - 4 mm"
"XMP Version:","3.0"
"XMP Revision:","1.2"
"Number of PMICs:","1"
"XMP(OC) PMIC:","Nieobs³ugiwany"
"PMIC OC:","Wy³¹czony"
"PMIC Voltage Default Step Size:","5 mV"
"OC Global Reset Function:","Nieobs³ugiwany"
"Nazwa profilu:","Profile 1"
"Zalecana konfiguracja kana³u:","1 DIMM per Channel"
"Poziom napiêcia modu³u VDD:","1.40 V"
"Poziom napiêcia modu³u VPP:","1.80 V"
"Poziom napiêcia modu³u VDDQ:","1.40 V"
"Poziom napiêcia kontrolera pamiêci:","1.20 V"
"Minimalny czas cyklu SDRAM (tCKAVGmin):","0.33300 ns (3000 MHz)"
"Obs³ugiwane opóŸnienia CAS#:","22, 26, 28, 30, 32, 36, 40, 42, 46, 48, 50, 54"
"Minimalny czas opóŸnienia CAS# (tAAmin):","9.990 ns"
"Minimalne opóŸnienie RAS# do CAS# (tRCDmin):","11.988 ns"
"Minimum Row Precharge Time (tRPmin):","11.988 ns"
"Minimum Active to Precharge Time (tRASmin):","25.308 ns"
"Obs³ugiwane taktowanie modu³u przy 3000.0 MHz:","30-36-36-76"
"Obs³ugiwane taktowanie modu³u przy 2800.0 MHz:","28-34-34-71"
"Obs³ugiwane taktowanie modu³u przy 2600.0 MHz:","26-32-32-66"
"Obs³ugiwane taktowanie modu³u przy 2200.0 MHz:","22-27-27-56"
"Minimum Active to Active/Refresh Time (tRCmin):","37.296 ns"
"Minimum Refresh Recovery Time Delay (tRFC1min):","295.000 ns"
"Minimum Refresh Recovery Time Delay (tRFC2min):","160.000 ns"
"Minimum Refresh Recovery Time Delay (tRFCsb):","130.000 ns"
"Minimum Minimum Write Recovery Time (tWRmin):","30.000 ns"
"Tryb szybkoœci poleceñ systemu:","2N"
"Podkrêcanie czêstotliwoœci pamiêci w czasie rzeczywistym:","Utrzymany"
"Intel Dynamic Memory Boost:","Utrzymany"
"Minimum Read to Read Command Delay Time, Same Bank Group (tCCD_Lmin):","5.000 ns"
"Minimum Write to Write Command Delay Time, Same Bank Group (tCCD_L_WRmin):","20.000 ns"
"Minimum Write to Write Command Delay Time, Second Write not RMW, Same Bank Group (tCCD_L_WR2min):","10.000 ns"
"Minimum Write to Read Command Delay Time, Same Bank Group (tCCD_L_WTRmin):","10.000 ns"
"Minimum Write to Read Command Delay Time, Different Bank Group (tCCD_S_WTRmin):","2.500 ns"
"Minimum Active to Active Command Delay Time, Same Bank Group (tRRD_Lmin):","5.000 ns"
"Minimum Read to Precharge Command Delay Time (tRTPmin):","7.500 ns"
"Minimum Four Activate Window (tFAWmin):","10.666 ns"
"EXPO Version:","1.0"
"PMIC Voltage Step Size:","5 mV"
"DIMMs per Channel:","1"
"Poziom napiêcia modu³u VDD:","1.40 V"
"Poziom napiêcia modu³u VDDQ:","1.40 V"
"Poziom napiêcia modu³u VPP:","1.80 V"
"Minimalny czas cyklu SDRAM (tCKAVGmin):","0.33300 ns (3000 MHz)"
"Minimalny czas opóŸnienia CAS# (tAAmin):","9.990 ns"
"Minimalne opóŸnienie RAS# do CAS# (tRCDmin):","11.988 ns"
"Minimum Row Precharge Time (tRPmin):","11.988 ns"
"Minimum Active to Precharge Time (tRASmin):","25.308 ns"
"Obs³ugiwane taktowanie modu³u przy 3000.0 MHz:","30-36-36-76"
"Obs³ugiwane taktowanie modu³u przy 2800.0 MHz:","28-34-34-71"
"Obs³ugiwane taktowanie modu³u przy 2200.0 MHz:","22-27-27-56"
"Minimum Active to Active/Refresh Time (tRCmin):","37.296 ns"
"Minimum Refresh Recovery Time Delay (tRFC1min):","295.000 ns"
"Minimum Refresh Recovery Time Delay (tRFC2min):","160.000 ns"
"Minimum Refresh Recovery Time Delay (tRFCsb):","130.000 ns"
"Minimum Minimum Write Recovery Time (tWRmin):","30.000 ns"

Magistrala


PCI Magistrala #0


Intel Raptor Lake-S 8+12 - Host Bridge/DRAM Controller [B0]

"Nazwa urz¹dzenia:","Intel Raptor Lake-S 8+12 - Host Bridge/DRAM Controller [B0]"
"Oryginalna nazwa urz¹dzenia:","Intel Raptor Lake-S 8+12 - Host Bridge/DRAM Controller [B0]"
"Klasa urz¹dzenia:","Host-to-PCI Bridge"
"Identyfikator rewizja:","1 [B0]"
"Numer adresu PCI (magistrala:urz¹dzenie:funkcja):","0:0:0"
"PCI Latency Timer:","0"
"Identyfikator sprzêtu:","PCI\VEN_8086&DEV_A740&SUBSYS_A7401849&REV_01"
"Linia przerwañ:","N/A"
"Pin przerwania:","N/A"
"Adres bazy pamiêci 3","20000000"
"Bus Mastering:","W³¹czony"
"Running At 66 MHz:","Niezdolny"
"Fast Back-to-Back Transactions:","Zdolny"
"Producent sterownika:","Microsoft"
"Opis sterownika:","PCI standard host CPU bridge"
"Dostawca sterowników:","Microsoft"
"Wersja sterownika:","10.0.26100.1150"
"Data sterownika:","21-Jun-2006"
"DeviceInstanceId","PCI\VEN_8086&DEV_A740&SUBSYS_A7401849&REV_01\3&11583659&0&00"
"Location Paths","PCIROOT(0)#PCI(0000)"

Intel Raptor Lake - PCI Express 5.0 Graphics Port (PEG010)

"Nazwa urz¹dzenia:","Intel Raptor Lake - PCI Express 5.0 Graphics Port (PEG010)"
"Oryginalna nazwa urz¹dzenia:","Intel Raptor Lake - PCI Express 5.0 Graphics Port (PEG010)"
"Klasa urz¹dzenia:","PCI-to-PCI Bridge"
"Identyfikator rewizja:","1"
"Numer adresu PCI (magistrala:urz¹dzenie:funkcja):","0:1:0"
"PCI Latency Timer:","0"
"Identyfikator sprzêtu:","PCI\VEN_8086&DEV_A70D&SUBSYS_00000044&REV_01"
"Wersja:","5.0"
"Maksymalna szerokoœæ ³¹cza:","x8"
"Aktualna szerokoœæ ³¹cza:","x8"
"Maksymalna prêdkoœæ ³¹cza:","32.0 GT/s"
"Aktualna prêdkoœæ ³¹cza:","16.0 GT/s"
"Typ urz¹dzenia/portu:","Port g³ówny PCI Express Root Complex"
"Zaimplementowane gniazdo:","Tak"
"Hot-Plug:","Niezdolny"
"Hot-Plug Surprise:","Niezdolny"
"Limit mocy gniazda:","75.000 W"
"Emergency Power Reduction:","Nieobs³ugiwany"
"Active State Power Management (ASPM) Support:","Nic"
"Active State Power Management (ASPM) Status:","Wy³¹czony"
"L0s Exit Latency:","2 - 4 us"
"L1 Exit Latency:","8 - 16 us"
"Maximum Payload Size Supported:","256 bytes"
"Maximum Payload Size:","256 bytes"
"Obs³uga BAR o zmiennej wielkoœci:","Nieobs³ugiwany"
"Linia przerwañ:","N/A"
"Pin przerwania:","INTA#"
"Bus Mastering:","W³¹czony"
"Running At 66 MHz:","Niezdolny"
"Fast Back-to-Back Transactions:","Niezdolny"
"Producent sterownika:","INTEL"
"Opis sterownika:","Intel(R) PCIe RC 010 G5 - A70D"
"Dostawca sterowników:","INTEL"
"Wersja sterownika:","10.1.49.10"
"DeviceInstanceId","PCI\VEN_8086&DEV_A70D&SUBSYS_A70D1849&REV_01\3&11583659&0&08"
"Location Paths","PCIROOT(0)#PCI(0100)"

PCI Express x8 Magistrala #1


Zotac RTX 4070 Ti SUPER AMP Holo

"Nazwa urz¹dzenia:","Zotac RTX 4070 Ti SUPER AMP Holo"
"Oryginalna nazwa urz¹dzenia:","NVIDIA GeForce RTX 4070 Ti SUPER (AD103-275)"
"Klasa urz¹dzenia:","VGA Compatible Adapter"
"Identyfikator rewizja:","A1"
"Numer adresu PCI (magistrala:urz¹dzenie:funkcja):","1:0:0"
"PCI Latency Timer:","0"
"Identyfikator sprzêtu:","PCI\VEN_10DE&DEV_2705&SUBSYS_470719DA&REV_A1"
"Wersja:","4.0"
"Maksymalna szerokoœæ ³¹cza:","x16"
"Aktualna szerokoœæ ³¹cza:","x8"
"Maksymalna prêdkoœæ ³¹cza:","16.0 GT/s"
"Aktualna prêdkoœæ ³¹cza:","16.0 GT/s"
"Typ urz¹dzenia/portu:","Starszy punkt koñcowy PCI Express"
"Zaimplementowane gniazdo:","Nie"
"Emergency Power Reduction:","Nieobs³ugiwany"
"Active State Power Management (ASPM) Support:","L1"
"Active State Power Management (ASPM) Status:","Wy³¹czony"
"L0s Exit Latency:",">4 us"
"L1 Exit Latency:","2 - 4 us"
"Maximum Payload Size Supported:","256 bytes"
"Maximum Payload Size:","256 bytes"
"Obs³uga BAR o zmiennej wielkoœci:","Utrzymany"
"Resizable BAR0 Supported Size:","16 MB"
"Resizable BAR0 Current Size:","16 MB"
"Resizable BAR1 Supported Size:","64 MB, 128 MB, 256 MB, 512 MB, 1 GB, 2 GB, 4 GB, 8 GB, 16 GB"
"Resizable BAR1 Current Size:","16 GB"
"Resizable BAR2 Supported Size:","32 MB"
"Resizable BAR2 Current Size:","32 MB"
"Linia przerwañ:","N/A"
"Pin przerwania:","INTA#"
"Adres bazy pamiêci 0","70000000"
"Adres bazy pamiêci 1","4000000000"
"Adres bazy pamiêci 3","4400000000"
"Adres bazowy We/Wy 5","4000"
"Bus Mastering:","W³¹czony"
"Running At 66 MHz:","Niezdolny"
"Fast Back-to-Back Transactions:","Niezdolny"
"Producent sterownika:","NVIDIA"
"Opis sterownika:","NVIDIA GeForce RTX 4070 Ti SUPER"
"Dostawca sterowników:","NVIDIA"
"Wersja sterownika:","32.0.15.8180 (GeForce 581.80)"
"Data sterownika:","29-Oct-2025"
"DCH/UWD Driver:","Zdolny"
"DeviceInstanceId","PCI\VEN_10DE&DEV_2705&SUBSYS_470719DA&REV_A1\4&341CA995&0&0008"
"Location Paths","PCIROOT(0)#PCI(0100)#PCI(0000)"

NVIDIA AD103 - High Definition Audio Controller

"Nazwa urz¹dzenia:","NVIDIA AD103 - High Definition Audio Controller"
"Oryginalna nazwa urz¹dzenia:","NVIDIA AD103 - High Definition Audio Controller"
"Klasa urz¹dzenia:","High Definition Audio"
"Identyfikator rewizja:","A1"
"Numer adresu PCI (magistrala:urz¹dzenie:funkcja):","1:0:1"
"PCI Latency Timer:","0"
"Identyfikator sprzêtu:","PCI\VEN_10DE&DEV_22BB&SUBSYS_470719DA&REV_A1"
"Wersja:","4.0"
"Maksymalna szerokoœæ ³¹cza:","x16"
"Aktualna szerokoœæ ³¹cza:","x8"
"Maksymalna prêdkoœæ ³¹cza:","16.0 GT/s"
"Aktualna prêdkoœæ ³¹cza:","16.0 GT/s"
"Typ urz¹dzenia/portu:","Punkt koñcowy PCI Express"
"Zaimplementowane gniazdo:","Nie"
"Emergency Power Reduction:","Nieobs³ugiwany"
"Active State Power Management (ASPM) Support:","L1"
"Active State Power Management (ASPM) Status:","Wy³¹czony"
"L0s Exit Latency:",">4 us"
"L1 Exit Latency:","2 - 4 us"
"Maximum Payload Size Supported:","256 bytes"
"Maximum Payload Size:","256 bytes"
"Obs³uga BAR o zmiennej wielkoœci:","Nieobs³ugiwany"
"Linia przerwañ:","IRQ17"
"Pin przerwania:","INTB#"
"Adres bazy pamiêci 0","710FC000"
"Bus Mastering:","W³¹czony"
"Running At 66 MHz:","Niezdolny"
"Fast Back-to-Back Transactions:","Niezdolny"
"Producent sterownika:","Microsoft"
"Opis sterownika:","High Definition Audio Controller"
"Dostawca sterowników:","Microsoft"
"Wersja sterownika:","10.0.26100.7309"
"Data sterownika:","25-Nov-2025"
"DeviceInstanceId","PCI\VEN_10DE&DEV_22BB&SUBSYS_470719DA&REV_A1\4&341CA995&0&0108"
"Location Paths","PCIROOT(0)#PCI(0100)#PCI(0001)"

Intel Raptor Lake - PCI Express 5.0 Graphics Port (PEG011)

"Nazwa urz¹dzenia:","Intel Raptor Lake - PCI Express 5.0 Graphics Port (PEG011)"
"Oryginalna nazwa urz¹dzenia:","Intel Raptor Lake - PCI Express 5.0 Graphics Port (PEG011)"
"Klasa urz¹dzenia:","PCI-to-PCI Bridge"
"Identyfikator rewizja:","1"
"Numer adresu PCI (magistrala:urz¹dzenie:funkcja):","0:1:1"
"PCI Latency Timer:","0"
"Identyfikator sprzêtu:","PCI\VEN_8086&DEV_A72D&SUBSYS_00000000&REV_01"
"Wersja:","5.0"
"Maksymalna szerokoœæ ³¹cza:","x8"
"Aktualna szerokoœæ ³¹cza:","x4"
"Maksymalna prêdkoœæ ³¹cza:","32.0 GT/s"
"Aktualna prêdkoœæ ³¹cza:","16.0 GT/s"
"Typ urz¹dzenia/portu:","Port g³ówny PCI Express Root Complex"
"Zaimplementowane gniazdo:","Tak"
"Hot-Plug:","Niezdolny"
"Hot-Plug Surprise:","Niezdolny"
"Limit mocy gniazda:","75.000 W"
"Emergency Power Reduction:","Nieobs³ugiwany"
"Active State Power Management (ASPM) Support:","Nic"
"Active State Power Management (ASPM) Status:","Wy³¹czony"
"L0s Exit Latency:","2 - 4 us"
"L1 Exit Latency:","8 - 16 us"
"Maximum Payload Size Supported:","256 bytes"
"Maximum Payload Size:","256 bytes"
"Obs³uga BAR o zmiennej wielkoœci:","Nieobs³ugiwany"
"Linia przerwañ:","N/A"
"Pin przerwania:","INTB#"
"Bus Mastering:","W³¹czony"
"Running At 66 MHz:","Niezdolny"
"Fast Back-to-Back Transactions:","Niezdolny"
"Producent sterownika:","INTEL"
"Opis sterownika:","Intel(R) PCIe RC 011 G5 - A72D"
"Dostawca sterowników:","INTEL"
"Wersja sterownika:","10.1.49.10"
"DeviceInstanceId","PCI\VEN_8086&DEV_A72D&SUBSYS_A72D1849&REV_01\3&11583659&0&09"
"Location Paths","PCIROOT(0)#PCI(0101)"

PCI Express x8 Magistrala #2


Samsung Electronics Elpis S4LV003 PCIe 4.0 x4 NVMe 1.3 SSD Controller

"Nazwa urz¹dzenia:","Samsung Electronics Elpis S4LV003 PCIe 4.0 x4 NVMe 1.3 SSD Controller"
"Oryginalna nazwa urz¹dzenia:","Samsung Electronics Elpis S4LV003 PCIe 4.0 x4 NVMe 1.3 SSD Controller"
"Klasa urz¹dzenia:","NVMe Controller"
"Identyfikator rewizja:","0"
"Numer adresu PCI (magistrala:urz¹dzenie:funkcja):","2:0:0"
"PCI Latency Timer:","0"
"Identyfikator sprzêtu:","PCI\VEN_144D&DEV_A80A&SUBSYS_A801144D&REV_00"
"Wersja:","4.0"
"Maksymalna szerokoœæ ³¹cza:","x4"
"Aktualna szerokoœæ ³¹cza:","x4"
"Maksymalna prêdkoœæ ³¹cza:","16.0 GT/s"
"Aktualna prêdkoœæ ³¹cza:","16.0 GT/s"
"Typ urz¹dzenia/portu:","Punkt koñcowy PCI Express"
"Zaimplementowane gniazdo:","Nie"
"Emergency Power Reduction:","Nieobs³ugiwany"
"Active State Power Management (ASPM) Support:","L1"
"Active State Power Management (ASPM) Status:","Wy³¹czony"
"L0s Exit Latency:",">4 us"
"L1 Exit Latency:","32 - 64 us"
"Maximum Payload Size Supported:","256 bytes"
"Maximum Payload Size:","256 bytes"
"Obs³uga BAR o zmiennej wielkoœci:","Nieobs³ugiwany"
"Linia przerwañ:","N/A"
"Pin przerwania:","INTA#"
"Adres bazy pamiêci 0","71500000"
"Bus Mastering:","W³¹czony"
"Running At 66 MHz:","Niezdolny"
"Fast Back-to-Back Transactions:","Niezdolny"
"Producent sterownika:","Microsoft"
"Opis sterownika:","Standard NVM Express Controller"
"Dostawca sterowników:","Microsoft"
"Wersja sterownika:","10.0.26100.7309"
"Data sterownika:","21-Jun-2006"
"DeviceInstanceId","PCI\VEN_144D&DEV_A80A&SUBSYS_A801144D&REV_00\4&274E9CB&0&0009"
"Location Paths","PCIROOT(0)#PCI(0101)#PCI(0000)"

Intel Raptor Lake-S PCH - USB 3.2 Gen 2x2 (20 Gb/s) xHCI Host Controller

"Nazwa urz¹dzenia:","Intel Raptor Lake-S PCH - USB 3.2 Gen 2x2 (20 Gb/s) xHCI Host Controller"
"Oryginalna nazwa urz¹dzenia:","Intel Raptor Lake-S PCH - USB 3.2 Gen 2x2 (20 Gb/s) xHCI Host Controller"
"Klasa urz¹dzenia:","USB xHCI Controller"
"Identyfikator rewizja:","11"
"Numer adresu PCI (magistrala:urz¹dzenie:funkcja):","0:20:0"
"PCI Latency Timer:","0"
"Identyfikator sprzêtu:","PCI\VEN_8086&DEV_7A60&SUBSYS_7A601849&REV_11"
"Linia przerwañ:","N/A"
"Pin przerwania:","INTA#"
"Adres bazy pamiêci 0","4402100000"
"Bus Mastering:","W³¹czony"
"Running At 66 MHz:","Niezdolny"
"Fast Back-to-Back Transactions:","Zdolny"
"Obs³ugiwana wersja USB:","3.2"
"Producent sterownika:","Microsoft"
"Opis sterownika:","USB xHCI Compliant Host Controller"
"Dostawca sterowników:","Microsoft"
"Wersja sterownika:","10.0.26100.7309"
"Data sterownika:","24-Nov-2025"
"DeviceInstanceId","PCI\VEN_8086&DEV_7A60&SUBSYS_7A601849&REV_11\3&11583659&0&A0"
"Location Paths","PCIROOT(0)#PCI(1400)"

USB Root Hub


[Port1] : No Device Connected


[Port2] : Logitech, PID=C547

"Producent urz¹dzenia:","Logitech"
"Nazwa produktu:","USB Receiver"
"Numer seryjny:","N/A"
"Obs³ugiwana wersja USB:","2.00"
"USB Speed Capable:","USB 2.0 High-speed"
"USB Speed Connected:","USB 1.1 Full-speed"
"Maximum Current:","98 mA"
"Opis sterownika:","LIGHTSPEED Receiver"
"Identyfikator sprzêtu:","USB\VID_046D&PID_C547"
"Producent sterownika:","Logitech"
"Opis sterownika:","LIGHTSPEED Receiver"
"Dostawca sterowników:","Logitech"
"Wersja sterownika:","1.1.77.5292"
"Data sterownika:","15-Sep-2025"
"DeviceInstanceId","USB\VID_046D&PID_C547\5&260B46E3&0&2"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(2)"

[Port3] : Elgato Systems, PID=0080

"Producent urz¹dzenia:","Elgato"
"Nazwa produktu:","Stream Deck MK.2"
"Numer seryjny:","A00SA4202MBMQB"
"Obs³ugiwana wersja USB:","2.00"
"USB Speed Capable:","USB 2.0 High-speed"
"USB Speed Connected:","USB 2.0 High-speed"
"Maximum Current:","500 mA"
"Opis sterownika:","Urz¹dzenie wejœciowe USB"
"Identyfikator sprzêtu:","USB\VID_0FD9&PID_0080"
"Producent sterownika:","Microsoft"
"Opis sterownika:","USB Input Device"
"Dostawca sterowników:","Microsoft"
"Wersja sterownika:","10.0.26100.7309"
"Data sterownika:","21-Jun-2006"
"DeviceInstanceId","USB\VID_0FD9&PID_0080\A00SA4202MBMQB"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(3)"

[Port4] : No Device Connected


[Port5] : ASUS, PID=1ACE

"Producent urz¹dzenia:","ASUSTeK"
"Nazwa produktu:","ROG OMNI RECEIVER"
"Numer seryjny:","N/A"
"Obs³ugiwana wersja USB:","2.00"
"USB Speed Capable:","USB 2.0 High-speed"
"USB Speed Connected:","USB 1.1 Full-speed"
"Maximum Current:","500 mA"
"Opis sterownika:","Urz¹dzenie kompozytowe USB"
"Identyfikator sprzêtu:","USB\VID_0B05&PID_1ACE"
"Producent sterownika:","Microsoft"
"Opis sterownika:","USB Composite Device"
"Dostawca sterowników:","Microsoft"
"Wersja sterownika:","10.0.26100.7309"
"Data sterownika:","21-Jun-2006"
"DeviceInstanceId","USB\VID_0B05&PID_1ACE\5&260B46E3&0&5"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(5)"

[Port6] : No Device Connected


[Port7] : No Device Connected


[Port8] : ASMedia ASM2074 Super-Speed 4-Port USB 3.0 Hub

"Producent urz¹dzenia:","Asmedia"
"Nazwa produktu:","ASM107x"
"Numer seryjny:","N/A"
"Obs³ugiwana wersja USB:","3.00"
"USB Speed Capable:","USB 3.0 Gen1 (SuperSpeed)"
"USB Speed Connected:","USB 2.0 High-speed"
"Maximum Current:","100 mA"
"Opis sterownika:","Rodzajowy koncentrator USB"
"Identyfikator sprzêtu:","USB\VID_174C&PID_2074"
"Producent sterownika:","Microsoft"
"Opis sterownika:","Generic USB Hub"
"Dostawca sterowników:","Microsoft"
"Wersja sterownika:","10.0.26100.7309"
"Data sterownika:","24-Nov-2025"
"DeviceInstanceId","USB\VID_174C&PID_2074\5&260B46E3&0&8"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(8)"

[Port1] : No Device Connected


[Port2] : No Device Connected


[Port3] : No Device Connected


[Port4] : No Device Connected


[Port9] : ASMedia ASM2074 Super-Speed 4-Port USB 3.0 Hub

"Producent urz¹dzenia:","Asmedia"
"Nazwa produktu:","ASM107x"
"Numer seryjny:","N/A"
"Obs³ugiwana wersja USB:","3.00"
"USB Speed Capable:","USB 3.0 Gen1 (SuperSpeed)"
"USB Speed Connected:","USB 2.0 High-speed"
"Maximum Current:","100 mA"
"Opis sterownika:","Rodzajowy koncentrator USB"
"Identyfikator sprzêtu:","USB\VID_174C&PID_2074"
"Producent sterownika:","Microsoft"
"Opis sterownika:","Generic USB Hub"
"Dostawca sterowników:","Microsoft"
"Wersja sterownika:","10.0.26100.7309"
"Data sterownika:","24-Nov-2025"
"DeviceInstanceId","USB\VID_174C&PID_2074\5&260B46E3&0&9"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(9)"

[Port1] : No Device Connected


[Port2] : No Device Connected


[Port3] : No Device Connected


[Port4] : No Device Connected


[Port10] : No Device Connected


[Port11] : Corsair, PID=0C32

"Producent urz¹dzenia:","Corsair"
"Nazwa produktu:","Corsair, PID=0C32"
"Numer seryjny:","-"
"Obs³ugiwana wersja USB:","2.00"
"USB Speed Capable:","USB 2.0 High-speed"
"USB Speed Connected:","USB 1.1 Full-speed"
"Maximum Current:","100 mA"
"Opis sterownika:","Urz¹dzenie kompozytowe USB"
"Identyfikator sprzêtu:","USB\VID_1B1C&PID_0C32"
"Producent sterownika:","Microsoft"
"Opis sterownika:","USB Composite Device"
"Dostawca sterowników:","Microsoft"
"Wersja sterownika:","10.0.26100.7309"
"Data sterownika:","21-Jun-2006"
"DeviceInstanceId","USB\VID_1B1C&PID_0C32\208437933330"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(11)"

[Port12] : Corsair, PID=0C39

"Producent urz¹dzenia:","Corsair"
"Nazwa produktu:","LCD Cap for Elite Capellix coolers"
"Numer seryjny:","1514232480001"
"Obs³ugiwana wersja USB:","2.00"
"USB Speed Capable:","USB 2.0 High-speed"
"USB Speed Connected:","USB 2.0 High-speed"
"Maximum Current:","500 mA"
"Opis sterownika:","Urz¹dzenie wejœciowe USB"
"Identyfikator sprzêtu:","USB\VID_1B1C&PID_0C39"
"Producent sterownika:","Microsoft"
"Opis sterownika:","USB Input Device"
"Dostawca sterowników:","Microsoft"
"Wersja sterownika:","10.0.26100.7309"
"Data sterownika:","21-Jun-2006"
"DeviceInstanceId","USB\VID_1B1C&PID_0C39\1514232480001"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(12)"

[Port13] : Urz¹dzenie wejœciowe USB

"Producent urz¹dzenia:","-"
"Nazwa produktu:","-"
"Numer seryjny:","-"
"Obs³ugiwana wersja USB:","1.10"
"USB Speed Capable:","USB 1.1 Full-speed"
"USB Speed Connected:","USB 1.1 Full-speed"
"Maximum Current:","100 mA"
"Opis sterownika:","Urz¹dzenie wejœciowe USB"
"Identyfikator sprzêtu:","USB\VID_26CE&PID_01A2"
"Producent sterownika:","Microsoft"
"Opis sterownika:","USB Input Device"
"Dostawca sterowników:","Microsoft"
"Wersja sterownika:","10.0.26100.7309"
"Data sterownika:","21-Jun-2006"
"DeviceInstanceId","USB\VID_26CE&PID_01A2\A02019100900"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(13)"

[Port14] : Intel, PID=0032

"Producent urz¹dzenia:","Intel"
"Nazwa produktu:","Intel, PID=0032"
"Numer seryjny:","-"
"Obs³ugiwana wersja USB:","2.01"
"USB Speed Capable:","USB 1.1 Full-speed"
"USB Speed Connected:","USB 1.1 Full-speed"
"Maximum Current:","100 mA"
"Opis sterownika:","Intel(R) Wireless Bluetooth(R)"
"Identyfikator sprzêtu:","USB\VID_8087&PID_0032"
"Producent sterownika:","Intel Corporation"
"Opis sterownika:","Intel(R) Wireless Bluetooth(R)"
"Dostawca sterowników:","Intel Corporation"
"Wersja sterownika:","23.90.0.8"
"Data sterownika:","18-Oct-2024"
"DeviceInstanceId","USB\VID_8087&PID_0032\5&260B46E3&0&14"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(14)"

[Port15] : No Device Connected


[Port16] : No Device Connected


[Port17] : No Device Connected


[Port18] : No Device Connected


[Port19] : No Device Connected


[Port20] : No Device Connected


[Port21] : No Device Connected


[Port22] : No Device Connected


[Port23] : No Device Connected


[Port24] : ASMedia ASM3074 Super-Speed 4-Port USB 3.0 Hub

"Producent urz¹dzenia:","Asmedia"
"Nazwa produktu:","ASM107x"
